,lat,lng,members,cluster
118,42.86000061,-78.83000183,859,2
119,37.77000046,-122.4000015,8389,0
120,29.62999916,-98.44999695,1882,2
121,49.29000092,-123.1100006,4643,2
122,35.86999893,-78.52999878,915,2
123,37.79000092,-122.4199982,1434,0
124,17.39999962,78.48000336,1877,0
125,40.88999939,-74.05000305,418,0
126,33.79000092,-84.38999939,1090,0
127,38.65000153,-90.55000305,426,0
128,41.56000137,-81.48000336,1392,2
129,40.74000168,-74.0,404,0
130,33.68000031,-117.8300018,844,0
131,25.80999947,-80.19000244,1107,0
132,37.43999863,-122.1500015,2620,2
133,32.88999939,-96.86000061,994,0
134,41.90000153,-87.63999939,1317,2
135,33.86000061,-84.47000122,1866,2
136,40.75,-73.98999786,12073,2
137,42.02999878,-87.69000244,2324,0
138,41.81999969,-71.41000366,942,0
139,40.75999832,-73.98000336,3952,0
140,40.74000168,-73.98999786,6748,2
141,40.74000168,-73.98999786,1645,2
142,27.92000008,-82.51000214,846,2
143,-27.45999908,153.0200043,1238,2
144,41.83000183,-71.41000366,171,0
145,33.79000092,-118.25,1929,0
146,41.33000183,-72.94000244,649,0
147,47.61000061,-122.3300018,534,0
148,40.70000076,-74.01000214,4204,0
149,40.72000122,-74.0,754,0
150,41.88000107,-87.63999939,4441,0
151,59.33000183,18.06999969,90,0
152,37.77000046,-122.4100037,6122,0
153,27.97999954,-82.33999634,1049,0
154,42.61999893,-71.36000061,527,0
155,37.77000046,-122.4000015,1695,0
156,45.41999817,-75.69999695,1784,0
157,43.68000031,-79.38999939,3690,0
158,37.86999893,-122.2600021,1836,0
159,40.04000092,-105.3099976,13390,0
160,40.72999954,-73.98999786,65,0
161,59.90999985,10.75,281,0
162,37.77000046,-122.4000015,2054,0
163,33.84999847,-84.36000061,2486,0
164,34.75999832,-86.68000031,855,2
165,30.37999916,-97.70999908,850,0
166,40.70999908,-73.94999695,260,0
167,42.34000015,-71.08999634,4039,2
168,33.08000183,-96.80000305,520,0
169,40.04999924,-105.2099991,1456,2
170,34.04999924,-118.2399979,2079,2
171,41.88999939,-87.62000275,1032,0
172,39.29999924,-76.61000061,1324,0
173,40.04000092,-105.3099976,186,0
174,51.52000046,-0.100000001,8225,2
175,33.08000183,-96.80000305,1576,2
176,39.95000076,-75.16000366,859,0
177,40.75,-73.98999786,240,0
178,40.75,-73.98999786,1890,2
179,-36.84999847,174.7599945,2672,0
180,-27.45999908,153.0200043,2905,2
181,29.71999931,-95.22000122,502,0
182,37.77000046,-122.4400024,1124,0
183,38.95999908,-77.33999634,1680,0
184,55.68000031,12.56999969,689,2
185,-37.81000137,144.96000669999995,1050,0
186,6.449999809,3.470000029,2387,0
187,33.75,-84.38999939,352,0
